susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0113379129475583,0.00147583081691981
0.3537,0.0152,0.011006395025115,0.00103308157184387
0.3998,0.0213,0.00616623335744396,0.0140203927607382
0.4318,0.0262,0.00497276883664836,0.007674320247983
0.6081,0.0668,0.00397821506931868,0.00885498490151885
0.7004,0.0982,0.00278475054852308,0.0185954682931896
0.7152,0.1039,0.00417712582278462,0.0172672205579618
0.6895,0.0941,0.00596732260397803,0.0185954682931896
0.7075,0.1009,0.00795643013863737,0.0277456193580924
0.766,0.1253,0.0107411806871604,0.030844864073624
0.8963,0.1925,0.0108074842716491,0.0470790030597419
1.0018,0.2607,0.0102770555957399,0.0838271904010451
1.0455,0.2929,0.0138574491581268,0.144483836976449
1.307,0.5387,0.0163769853686953,0.135924018238314
1.387,0.6334,0.0161117710307407,0.243954834036844
1.3056,0.5371,0.0172389319670476,0.334423263114029
1.4357,0.696,0.0187639144102865,0.386520090951298
1.5476,0.8541,0.0175041463050022,0.512851208879633
1.5698,0.888,0.0152498244323883,0.853177795261341
1.5229,0.8174,0.0128628953907971,1
1.5776,0.9,0.0128628953907971,1
